image,artist,school,technique,timeframe,type,technique_macro
34321-1zane3.jpg,Sebastiano RICCI,italian,fresco,1701-1750,mythological,fresco
00202-holyfam.jpg,Francesco ALBANI,italian,oil,1601-1650,religious,oil
30751-0view2.jpg,Pietro PERUGINO,italian,fresco,1451-1500,other,fresco
22219-virgin_c.jpg,Lucas van LEYDEN,netherlandish,oil,1501-1550,religious,oil
00252-visitat4.jpg,Mariotto ALBERTINELLI,italian,oil,1451-1500,religious,oil
24928-jeremiah.jpg,MASTER of the Aix Annunciation,french,oil,1401-1450,religious,oil
18969-giustini.jpg,Paolo GUIDOTTI,italian,fresco,1551-1600,mythological,fresco
20692-bowyer.jpg,Cornelius the Elder JONSON VAN CEULEN,flemish,oil,1601-1650,portrait,oil
19873-1darmst.jpg,Hans the Younger HOLBEIN,german,oil,1501-1550,religious,oil
04589-temptati.jpg,Giovanni BILIVERT,italian,oil,1601-1650,religious,oil
36582-paolo_f1.jpg,Ary SCHEFFER,dutch,oil,1801-1850,other,oil
24485-01view.jpg,MASO DI BANCO,italian,fresco,1301-1350,religious,fresco
03093-calvary.jpg,Peeter BALTENS,flemish,oil,1501-1550,religious,oil
20320-mountain.jpg,Jan Baptist HUYSMANS,flemish,oil,1651-1700,landscape,oil
08705-pieta.jpg,Enguerrand CHARONTON,french,tempera,1451-1500,religious,tempera
07640-descent.jpg,Bartolomé CARDUCHO,spanish,oil,1551-1600,religious,oil
39738-04organ.jpg,TIZIANO Vecellio,italian,oil,1501-1550,mythological,oil
39546-newspape.jpg,James TISSOT,french,pastel,1851-1900,genre,pastel
21388-odysseus.jpg,Gérard de LAIRESSE,dutch,oil,1651-1700,mythological,oil
12035-painstud.jpg,Gerrit DOU,dutch,oil,1651-1700,genre,oil
21190-cpucine.jpg,Konstantin Alekseyevich KOROVIN,russian,oil,1851-1900,landscape,oil
36091-4absalo1.jpg,Cecchino del SALVIATI,italian,fresco,1501-1550,religious,fresco
20109-44hooch.jpg,Pieter de HOOCH,dutch,oil,1651-1700,genre,oil
23200-43monaco.jpg,LORENZO Monaco,italian,fresco,1401-1450,religious,fresco
14896-ulysses.jpg,Louis GAUFFIER,french,oil,1751-1800,mythological,oil
08845-01john1.jpg,CIMA da Conegliano,italian,oil,1451-1500,religious,oil
23406-seascape.jpg,Philip Jacques de LOUTHERBOURG,french,oil,1751-1800,landscape,oil
34189-jerom.jpg,Jusepe de RIBERA,spanish,oil,1601-1650,religious,oil
14401-pieta.jpg,Niccol? FRANGIPANE,italian,oil,1551-1600,religious,oil
21250-barbier.jpg,Aleksander KUCHARSKI,polish,pastel,1751-1800,portrait,pastel
38606-landscax.jpg,David the Younger TENIERS,flemish,oil,1651-1700,landscape,oil
07480-13fligh.jpg,CARAVAGGIO,italian,oil,1551-1600,religious,oil
31356-pastoral.jpg,Jean-Baptiste PILLEMENT,french,oil,1751-1800,landscape,oil
32820-37entom.jpg,RAFFAELLO Sanzio,italian,oil,1501-1550,religious,oil
26763-09_62mn.jpg,MICHELANGELO Buonarroti,italian,fresco,1501-1550,religious,fresco
13926-st_paul.jpg,Govert Teunisz. FLINCK,dutch,oil,1601-1650,religious,oil
36824-portpole.jpg,SEBASTIANO DEL PIOMBO,italian,oil,1501-1550,portrait,oil
32358-rossau1.jpg,Andrea POZZO,italian,fresco,1651-1700,interior,fresco
14743-stillif2.jpg,Fede GALIZIA,italian,oil,1601-1650,still-life,oil
14882-landscap.jpg,Lucas GASSEL,flemish,oil,1501-1550,landscape,oil
35250-2young_m.jpg,ROSSO FIORENTINO,italian,oil,1501-1550,portrait,oil
21199-deathnio.jpg,Johann KÖNIG,german,oil,1601-1650,mythological,oil
29759-stillute.jpg,Willem van ODEKERKEN,dutch,oil,1601-1650,still-life,oil
39395-3flight.jpg,TINTORETTO,italian,oil,1551-1600,religious,oil
30846-trinity.jpg,Pietro PERUGINO,italian,fresco,1451-1500,religious,fresco
23352-13goldsm.jpg,Lorenzo LOTTO,italian,oil,1501-1550,portrait,oil
03518-selfport.jpg,Pompeo BATONI,italian,oil,1751-1800,portrait,oil
39948-2oldtesx.jpg,Jacopo TORRITI,italian,fresco,1251-1300,religious,fresco
29855-haneton1.jpg,Bernaert van ORLEY,flemish,oil,1501-1550,religious,oil
16623-4vault.jpg,GIOVANNI DEL BIONDO,italian,fresco,1351-1400,religious,fresco
41359-05sancta.jpg,Italian UNKNOWN MASTER,italian,fresco,1251-1300,religious,fresco
38389-removal.jpg,Isaac Claesz. van SWANENBURG,dutch,oil,1551-1600,historical,oil
03626-pigot.jpg,Sir William BEECHEY,english,oil,1751-1800,portrait,oil
30954-alcestis.jpg,Jean-François-Pierre PEYRON,french,oil,1751-1800,mythological,oil
32574-01mother.jpg,Pierre PUGET,french,oil,1651-1700,portrait,oil
02479-1family.jpg,Giuseppe ARCIMBOLDO,italian,oil,1551-1600,portrait,oil
41879-vendra02.jpg,Andrea URBANI,italian,fresco,1751-1800,other,fresco
21137-selfporrt.jpg,Christen K?BKE,danish,oil,1801-1850,portrait,oil
28791-eccehomo.jpg,MORAZZONE,italian,fresco,1601-1650,religious,fresco
40155-susanna.jpg,Francesco TREVISANI,italian,oil,1651-1700,mythological,oil
23056-3m_latte.jpg,Ambrogio LORENZETTI,italian,tempera,1301-1350,religious,tempera
41177-zchrist.jpg,German UNKNOWN MASTER,german,oil,1551-1600,religious,oil
40035-cabare01.jpg,Henri de TOULOUSE-LAUTREC,french,oil,1851-1900,genre,oil
07779-80martyr.jpg,Vittore CARPACCIO,italian,tempera,1501-1550,religious,tempera
06088-two_inte.jpg,Quiringh van BREKELENKAM,dutch,oil,1651-1700,genre,oil
21143-viewlake.jpg,Christen K?BKE,danish,oil,1801-1850,landscape,oil
23910-study.jpg,Rutilio MANETTI,italian,oil,1601-1650,religious,oil
16655-predel3.jpg,GIOVANNI DI PAOLO,italian,tempera,1451-1500,religious,tempera
13915-company.jpg,Govert Teunisz. FLINCK,dutch,oil,1601-1650,portrait,oil
15649-suardo.jpg,Giuseppe GHISLANDI,italian,oil,1701-1750,portrait,oil
31812-barn.jpg,Egbert van der POEL,dutch,oil,1651-1700,genre,oil
22263-y_flute.jpg,Judith LEYSTER,dutch,oil,1601-1650,genre,oil
08601-portgent.jpg,Mason the Elder CHAMBERLIN,english,oil,1751-1800,portrait,oil
19256-portdunk.jpg,Hugh Douglas HAMILTON,irish,oil,1751-1800,portrait,oil
07133-marymart.jpg,Vincenzo CAMPI,italian,oil,1551-1600,still-life,oil
00872-1scenes.jpg,Fra ANGELICO,italian,fresco,1401-1450,religious,fresco
04558-viewtivo.jpg,Jean-Joseph-Xavier BIDAULD,french,oil,1751-1800,landscape,oil
04742-expulsio.jpg,Abraham BLOEMAERT,dutch,oil,1601-1650,religious,oil
39717-1dana_pr.jpg,TIZIANO Vecellio,italian,oil,1501-1550,mythological,oil
37307-foglian2.jpg,SIMONE MARTINI,italian,fresco,1301-1350,portrait,fresco
39676-01jerome.jpg,TIZIANO Vecellio,italian,oil,1501-1550,religious,oil
44582-1centra2.jpg,Giovanni Battista ZELOTTI,italian,fresco,1551-1600,historical,fresco
19726-elizabe.jpg,Nicholas HILLIARD,english,oil,1551-1600,portrait,oil
20111-45hooch.jpg,Pieter de HOOCH,dutch,oil,1651-1700,genre,oil
36589-salver1.jpg,SCHEGGIA,italian,tempera,1401-1450,other,tempera
25946-triumpha.jpg,MELOZZO DA FORLI,italian,fresco,1451-1500,religious,fresco
39885-market2.jpg,Jacob TOORENVLIET,dutch,oil,1651-1700,genre,oil
32154-guardroo.jpg,Pieter Symonsz. POTTER,dutch,oil,1601-1650,interior,oil
38787-zrinyi.jpg,Jan THOMAS,flemish,oil,1651-1700,historical,oil
41463-judith.jpg,Italian UNKNOWN MASTER,italian,tempera,1501-1550,mythological,tempera
25921-general.jpg,Charles MELLIN,french,oil,1601-1650,portrait,oil
08158-martyrdo.jpg,Vicente CASTELLÓ,spanish,oil,1601-1650,religious,oil
39249-05assum.jpg,TINTORETTO,italian,oil,1551-1600,religious,oil
36031-assumpti.jpg,Anthonis SALLAERT,flemish,oil,1601-1650,religious,oil
41911-varbirds.jpg,Adriaen van UTRECHT,flemish,oil,1601-1650,other,oil
06097-madchild.jpg,Andrea del BRESCIANINO,italian,oil,1501-1550,religious,oil
09774-parable.jpg,Jan COSSIERS,flemish,oil,1601-1650,religious,oil
24754-madonna.jpg,MASTER of Female Half-lengths,flemish,oil,1501-1550,religious,oil
32757-02madonn.jpg,RAFFAELLO Sanzio,italian,oil,1501-1550,religious,oil
42448-christop.jpg,Jan van der VENNE,dutch,oil,1601-1650,religious,oil
14655-05baronc.jpg,Taddeo GADDI,italian,fresco,1301-1350,religious,fresco
15622-cappella.jpg,Ridolfo GHIRLANDAIO,italian,fresco,1501-1550,interior,fresco
06238-3tondo3.jpg,Agnolo BRONZINO,italian,oil,1501-1550,religious,oil
43899-shepherd.jpg,Adriaen van der WERFF,dutch,oil,1651-1700,genre,oil
03003-adoratio.jpg,Giovanni BALDUCCI,italian,oil,1551-1600,religious,oil
44452-cavalry.jpg,Jan WYCK,dutch,oil,1651-1700,landscape,oil
25227-stjerome.jpg,MASTER THEODERIC,bohemian,tempera,1351-1400,religious,tempera
31785-crucifix.jpg,Hans PLEYDENWURFF,german,mixed,1451-1500,religious,mixed
26253-selfport.jpg,Anton Raphael MENGS,german,pastel,1751-1800,portrait,pastel
18106-2tosse3.jpg,Benozzo GOZZOLI,italian,fresco,1451-1500,religious,fresco
16449-franc2.jpg,GIOTTO di Bondone,italian,fresco,1301-1350,religious,fresco
21373-rinaldo.jpg,Louis-Jean-François LAGRENÉE,french,oil,1751-1800,mythological,oil
19455-festoon2.jpg,Jan Davidsz. de HEEM,dutch,oil,1601-1650,still-life,oil
24906-francis1.jpg,MASTER of St Francis,italian,fresco,1251-1300,religious,fresco
26040-13john4.jpg,Hans MEMLING,flemish,oil,1451-1500,religious,oil
29595-panel3.jpg,NICCOL? DI BUONACCORSO,italian,tempera,1351-1400,religious,tempera
09805-venus.jpg,Lorenzo the Elder COSTA,italian,oil,1451-1500,mythological,oil
38885-main02.jpg,Giovanni Battista TIEPOLO,italian,fresco,1701-1750,mythological,fresco
22475-03adora.jpg,Filippino LIPPI,italian,oil,1451-1500,religious,oil
38045-prince.jpg,Karl Joseph STIELER,german,oil,1801-1850,portrait,oil
17449-miracle.jpg,Zacarías GONZÁLEZ VELÁZQUEZ,spanish,oil,1801-1850,religious,oil
29753-mcompany.jpg,Jacob OCHTERVELT,dutch,oil,1651-1700,interior,oil
43484-galette.jpg,Paul VOGLER,french,oil,1851-1900,landscape,oil
17923-valkhof.jpg,Jan van GOYEN,dutch,oil,1601-1650,landscape,oil
20152-interior.jpg,Jan Jozef II HOREMANS,flemish,oil,1751-1800,interior,oil
14356-dealer.jpg,Frans II FRANCKEN,flemish,oil,1601-1650,genre,oil
15502-5confir.jpg,Domenico GHIRLANDAIO,italian,fresco,1451-1500,religious,fresco
15900-01youngm.jpg,GIORGIONE,italian,oil,1451-1500,portrait,oil
43662-landsfig.jpg,Roelof van VRIES,dutch,oil,1651-1700,landscape,oil
03391-3women.jpg,Ferrer BASSA,catalan,fresco,1301-1350,religious,fresco
11935-iii_bela.jpg,István DORFFMEISTER,hungarian,oil,1751-1800,historical,oil
44467-woodland.jpg,Jan WYNANTS,dutch,oil,1651-1700,landscape,oil
37787-1south1.jpg,SPINELLO ARETINO,italian,fresco,1351-1400,religious,fresco
12211-pre_f_3x.jpg,DUCCIO di Buoninsegna,italian,tempera,1301-1350,religious,tempera
24960-cassone1.jpg,MASTER of the Cassoni Campana,italian,oil,1501-1550,mythological,oil
34121-pentecos.jpg,Jean II RESTOUT,french,oil,1701-1750,religious,oil
12309-51franci.jpg,DUCCIO di Buoninsegna,italian,tempera,1301-1350,religious,tempera
14910-early12.jpg,Paul GAUGUIN,french,oil,1851-1900,still-life,oil
15240-8patrie.jpg,François GÉRARD,french,oil,1801-1850,historical,oil
20412-1warlord.jpg,Béla IVÁNYI GRÜNWALD,hungarian,oil,1851-1900,mythological,oil
09627-nativity.jpg,CORREGGIO,italian,oil,1501-1550,religious,oil
07995-dream1.jpg,Lodovico CARRACCI,italian,oil,1551-1600,religious,oil
08744-italian1.jpg,Pierre-Athanase CHAUVIN,french,oil,1801-1850,landscape,oil
09512-judparis.jpg,CORNELIS VAN HAARLEM,dutch,oil,1551-1600,mythological,oil
19778-archduke.jpg,Jan van den HOECKE,flemish,oil,1601-1650,portrait,oil
22815-miracle.jpg,Lambert LOMBARD,flemish,oil,1501-1550,religious,oil
36580-gericaul.jpg,Ary SCHEFFER,dutch,oil,1801-1850,genre,oil
23634-virgin_c.jpg,Cesare MAGNI,italian,oil,1501-1550,religious,oil
38663-portrai1.jpg,Gerard TERBORCH,dutch,oil,1651-1700,portrait,oil
39274-1lamenta.jpg,TINTORETTO,italian,oil,1551-1600,religious,oil
20531-predel4.jpg,JACOPO DI CIONE,italian,tempera,1351-1400,religious,tempera
15843-lazarus.jpg,Luca GIORDANO,italian,oil,1651-1700,religious,oil
06907-merry_co.jpg,Willem Pietersz. BUYTEWECH,dutch,oil,1601-1650,genre,oil
25268-giese1.jpg,Georg David MATTHIEU,german,oil,1751-1800,portrait,oil
14167-023love.jpg,Jean-Honoré FRAGONARD,french,oil,1751-1800,genre,oil
18996-holy_fam.jpg,Juan Simón GUTIÉRREZ,spanish,oil,1651-1700,religious,oil
06033-wing1.jpg,Louis BREA,italian,oil,1451-1500,religious,oil
06161-04brocky.jpg,Károly BROCKY,hungarian,oil,1801-1850,genre,oil
35714-marsh.jpg,Jacob Isaackszon van RUISDAEL,dutch,oil,1651-1700,landscape,oil
44530-federi08.jpg,Federico ZANDOMENEGHI,italian,oil,1851-1900,genre,oil
17796-701goya.jpg,Francisco de GOYA Y LUCIENTES,spanish,oil,1801-1850,portrait,oil
24371-macphers.jpg,David MARTIN,scottish,oil,1751-1800,portrait,oil
05904-mayqueen.jpg,Richard BRAKENBURG,dutch,oil,1651-1700,genre,oil
29414-greville.jpg,Jean-Marc NATTIER,french,oil,1701-1750,portrait,oil
14611-portrait.jpg,Anton Domenico GABBIANI,italian,oil,1651-1700,portrait,oil
30222-4ducale31.jpg,PALMA GIOVANE,italian,oil,1551-1600,historical,oil
19761-watemil2.jpg,Meyndert HOBBEMA,dutch,oil,1651-1700,landscape,oil
36907-02serov.jpg,Valentin SEROV,russian,oil,1851-1900,portrait,oil
26263-02menzel.jpg,Adolph von MENZEL,german,oil,1851-1900,landscape,oil
44357-founderi.jpg,Philips WOUWERMAN,dutch,oil,1651-1700,landscape,oil
38359-vittori2.jpg,Justus SUSTERMANS,flemish,oil,1601-1650,portrait,oil
03043-08nativi.jpg,Hans BALDUNG GRIEN,german,oil,1501-1550,religious,oil
11668-0view1.jpg,DOMENICO DI BARTOLO,italian,fresco,1401-1450,religious,fresco
38246-stillif.jpg,Bernardo STROZZI,italian,oil,1601-1650,still-life,oil
18081-1monica.jpg,Benozzo GOZZOLI,italian,fresco,1451-1500,religious,fresco
10672-crucifi.jpg,Bernardo DADDI,italian,tempera,1301-1350,religious,tempera
10405-12sorrow.jpg,Lucas the Younger CRANACH,german,oil,1501-1550,religious,oil
15503-5confir0.jpg,Domenico GHIRLANDAIO,italian,fresco,1451-1500,religious,fresco
14008-youth.jpg,Lavinia FONTANA,italian,tempera,1551-1600,portrait,tempera
07011-martyrdo.jpg,Francesco del CAIRO,italian,oil,1601-1650,religious,oil
20038-02libera.jpg,Gerrit van HONTHORST,dutch,oil,1601-1650,religious,oil
15640-gentlema.jpg,Giuseppe GHISLANDI,italian,oil,1701-1750,portrait,oil
34019-1renoi20.jpg,Pierre-Auguste RENOIR,french,oil,1851-1900,portrait,oil
38294-families.jpg,George STUBBS,english,oil,1751-1800,portrait,oil
11653-4embrasu.jpg,DOMENICHINO,italian,fresco,1601-1650,religious,fresco
43533-girl_10.jpg,Cornelis de VOS,flemish,oil,1601-1650,portrait,oil
22167-bathers.jpg,Henry LEROLLE,french,oil,1851-1900,mythological,oil
00096-stilfrui.jpg,Willem van AELST,dutch,oil,1651-1700,still-life,oil
08320-xpanel3.jpg,CECCO DI PIETRO,italian,tempera,1351-1400,religious,tempera
30908-griseld2.jpg,PESELLINO,italian,tempera,1451-1500,religious,tempera
17440-loge.jpg,Eva GONZAL?S,french,oil,1851-1900,genre,oil
05081-portgent.jpg,Paris BORDONE,italian,oil,1501-1550,portrait,oil
20510-1c2_up2.jpg,JACOPO DI CIONE,italian,tempera,1351-1400,religious,tempera
09541-humbert.jpg,Jacobus Ludovicus CORNET,dutch,oil,1851-1900,portrait,oil
22907-gradenig.jpg,Alessandro LONGHI,italian,oil,1751-1800,portrait,oil
00632-charity.jpg,ANDREA DEL SARTO,italian,oil,1501-1550,religious,oil
19892-92oldman.jpg,Hans the Younger HOLBEIN,german,oil,1501-1550,portrait,oil
16825-3cavalli.jpg,GIULIO ROMANO,italian,fresco,1501-1550,mythological,fresco
13929-velvetca.jpg,Govert Teunisz. FLINCK,dutch,oil,1601-1650,portrait,oil
06117-colosseu.jpg,Frederick Lee BRIDELL,english,oil,1851-1900,landscape,oil
04118-l_evenix.jpg,Nicolaes BERCHEM,dutch,oil,1651-1700,landscape,oil
11555-adorati.jpg,Gaspare DIZIANI,italian,oil,1701-1750,religious,oil
03526-landscap.jpg,Gerrit van BATTEM,dutch,oil,1651-1700,landscape,oil
11083-mosque.jpg,Alexandre Gabriel DECAMPS,french,oil,1801-1850,landscape,oil
13184-dejected.jpg,James ENSOR,belgian,oil,1851-1900,mythological,oil
06561-guards_f.jpg,Jan the Elder BRUEGHEL,flemish,oil,1551-1600,landscape,oil
20786-baptism.jpg,JUAN DE FLANDES,spanish,oil,1501-1550,religious,oil
04163-stillif2.jpg,Christian BERENTZ,german,oil,1651-1700,still-life,oil
14375-triumph2.jpg,Frans II FRANCKEN,flemish,oil,1601-1650,mythological,oil
17527-5carryin.jpg,Jan GOSSART,flemish,oil,1501-1550,religious,oil
40857-tudor2.jpg,English UNKNOWN MASTER,english,oil,1551-1600,portrait,oil
07659-carlev04.jpg,Luca CARLEVARIS,italian,oil,1701-1750,landscape,oil
05828-2erasmu.jpg,Dieric the Elder BOUTS,netherlandish,oil,1451-1500,religious,oil
04896-portpetr.jpg,Ferdinand BOL,dutch,oil,1651-1700,portrait,oil
19312-oldmodel.jpg,William Michael HARNETT,american,oil,1851-1900,still-life,oil
32546-portrait.jpg,Antonio PUCCINELLI,italian,oil,1851-1900,portrait,oil
04191-madonna.jpg,Ambrogio BERGOGNONE,italian,oil,1501-1550,religious,oil
43667-estuary.jpg,Cornelis Hendricksz. the Younger VROOM,dutch,oil,1601-1650,landscape,oil
21169-panoram1.jpg,Philips KONINCK,dutch,oil,1651-1700,landscape,oil
25003-z_panel2.jpg,MASTER of the Codex of Saint George,italian,tempera,1301-1350,religious,tempera
34448-04rippl.jpg,József RIPPL-RÓNAI,hungarian,oil,1851-1900,portrait,oil
38576-mad_meg.jpg,David the Younger TENIERS,flemish,oil,1651-1700,genre,oil
31005-judithol.jpg,Giovanni Battista PIAZZETTA,italian,oil,1701-1750,religious,oil
13771-immacula.jpg,Domenico FETTI,italian,oil,1601-1650,religious,oil
43093-port_boy.jpg,Antoine VESTIER,french,oil,1751-1800,portrait,oil
15861-justice.jpg,Luca GIORDANO,italian,oil,1651-1700,mythological,oil
14206-bacchus.jpg,Baldassarre FRANCESCHINI,italian,oil,1651-1700,mythological,oil
22345-4elemen3.jpg,Jan LIEVENS,dutch,oil,1601-1650,mythological,oil
00203-holyfami.jpg,Francesco ALBANI,italian,oil,1601-1650,religious,oil
35056-luteplay.jpg,Theodor ROMBOUTS,flemish,oil,1601-1650,genre,oil
12371-allegory.jpg,Karel DUJARDIN,dutch,oil,1651-1700,mythological,oil
15193-marymagd.jpg,Artemisia GENTILESCHI,italian,oil,1601-1650,religious,oil
22279-virgin_c.jpg,LIBERALE da Verona,italian,tempera,1451-1500,religious,tempera
02870-joseph2.jpg,BACCHIACCA,italian,oil,1501-1550,religious,oil
22326-48evenin.jpg,Max LIEBERMANN,german,oil,1851-1900,landscape,oil
43594-01portra.jpg,Simon VOUET,french,oil,1601-1650,portrait,oil
34905-03catala.jpg,Catalan ROMANESQUE PAINTER,catalan,fresco,1101-1150,religious,fresco
22310-02amster.jpg,Max LIEBERMANN,german,oil,1851-1900,genre,oil
29242-oldcastl.jpg,Emanuel MURANT,dutch,oil,1651-1700,landscape,oil
20138-still_li.jpg,Samuel van HOOGSTRATEN,dutch,oil,1651-1700,still-life,oil
26768-3lastjud.jpg,MICHELANGELO Buonarroti,italian,fresco,1501-1550,religious,fresco
14629-2north1.jpg,Agnolo GADDI,italian,fresco,1351-1400,religious,fresco
07401-jerome.jpg,Simone CANTARINI,italian,oil,1601-1650,religious,oil
02970-selfport.jpg,David BAILLY,dutch,oil,1601-1650,portrait,oil
08644-01ray.jpg,Jean-Baptiste-Siméon CHARDIN,french,oil,1701-1750,still-life,oil
43240-zeuxis.jpg,François-André VINCENT,french,oil,1751-1800,historical,oil
38058-candleli.jpg,Matthias STOM,dutch,oil,1601-1650,genre,oil
03067-feastgod.jpg,Hendrick van BALEN,flemish,oil,1601-1650,mythological,oil
44558-03monza.jpg,Franceschino ZAVATTARI,italian,fresco,1401-1450,religious,fresco
13938-lastjudg.jpg,Frans FLORIS,flemish,oil,1551-1600,religious,oil
20257-singeri4.jpg,Christophe HUET,french,oil,1701-1750,genre,oil
26615-05_4sw.jpg,MICHELANGELO Buonarroti,italian,fresco,1501-1550,religious,fresco
04804-cremona2.jpg,Boccaccio BOCCACCINO,italian,fresco,1451-1500,religious,fresco
06539-garland.jpg,Abraham BRUEGHEL,flemish,oil,1651-1700,still-life,oil
10471-sacrame2.jpg,Giuseppe Maria CRESPI,italian,oil,1701-1750,religious,oil
42402-kaagsmal.jpg,Willem van de VELDE the Younger,dutch,oil,1651-1700,landscape,oil
32476-pala_te3.jpg,Francesco PRIMATICCIO,italian,fresco,1501-1550,other,fresco
21833-country.jpg,Silvestro LEGA,italian,oil,1851-1900,genre,oil
40741-09icon.jpg,Cretan UNKNOWN ICON PAINTER,greek,tempera,1501-1550,religious,tempera
43756-01actors.jpg,Jean-Antoine WATTEAU,french,oil,1701-1750,genre,oil
09513-madonna.jpg,CORNELIS VAN HAARLEM,dutch,oil,1551-1600,religious,oil
07691-iphigeni.jpg,Giovanni Andrea CARLONE,italian,oil,1651-1700,mythological,oil
11542-ladychil.jpg,Philip van DIJK,dutch,oil,1701-1750,genre,oil
26517-0doniton.jpg,MICHELANGELO Buonarroti,italian,tempera,1501-1550,religious,tempera
29609-virgi_ch.jpg,NICCOL? DI PIETRO GERINI,italian,tempera,1351-1400,religious,tempera
39028-1porteg1.jpg,Giovanni Battista TIEPOLO,italian,fresco,1701-1750,interior,fresco
15853-triumph.jpg,Luca GIORDANO,italian,fresco,1651-1700,religious,fresco
14815-certosa.jpg,Domenico GARGIULO,italian,fresco,1601-1650,interior,fresco
01140-portrai1.jpg,Aleksey Petrovich ANTROPOV,russian,oil,1751-1800,portrait,oil
20750-apostles.jpg,Jacob JORDAENS,flemish,oil,1651-1700,religious,oil
30102-madonna.jpg,PADOVANINO,italian,oil,1601-1650,religious,oil
22739-madonna1.jpg,LIPPO D'ANDREA DI LIPPO,italian,tempera,1401-1450,religious,tempera
04927-stillife.jpg,Hans BOLLONGIER,dutch,oil,1601-1650,still-life,oil
22486-11youth.jpg,Filippino LIPPI,italian,oil,1451-1500,portrait,oil
24782-virgin2.jpg,MASTER of Flémalle,flemish,oil,1401-1450,religious,oil
02737-killarn1.jpg,William ASHFORD,irish,oil,1751-1800,landscape,oil
41960-ascensio.jpg,Juan de VALDÉS LEAL,spanish,oil,1651-1700,religious,oil
28385-bacchus.jpg,Pier Francesco MOLA,italian,oil,1601-1650,mythological,oil
37783-madonna.jpg,Parri SPINELLI,italian,fresco,1401-1450,religious,fresco
21414-potocki.jpg,Johann Baptist I LAMPI,austrian,oil,1751-1800,portrait,oil
21721-v_vulcan.jpg,LE NAIN brothers,french,oil,1601-1650,mythological,oil
31809-3celebra.jpg,Egbert van der POEL,dutch,oil,1651-1700,landscape,oil
03247-stil_lif.jpg,Francisco BARRERA,spanish,oil,1601-1650,still-life,oil
42284-0702vela.jpg,Diego Rodriguez de Silva y VELÁZQUEZ,spanish,oil,1601-1650,portrait,oil
21787-barges.jpg,Albert-Charles LEBOURG,french,oil,1851-1900,landscape,oil
04568-boysinge.jpg,Trophîme BIGOT,french,oil,1601-1650,other,oil
21651-zenobio4.jpg,Gregorio LAZZARINI,italian,fresco,1651-1700,mythological,fresco
14577-study.jpg,Friedrich Heinrich FÜGER,german,oil,1751-1800,study,oil
31300-madonna.jpg,PIETRO ALEMANNO,italian,tempera,1451-1500,religious,tempera
35094-waterfal.jpg,Philipp Peter ROOS,german,oil,1601-1650,landscape,oil
03963-bello103b.jpg,Bernardo BELLOTTO,italian,oil,1751-1800,landscape,oil
30141-merrycom.jpg,Anthonie PALAMEDESZ.,dutch,oil,1601-1650,genre,oil
25235-sts_john.jpg,Joan MATES,catalan,tempera,1401-1450,religious,tempera
07974-farnes19.jpg,Annibale CARRACCI,italian,fresco,1551-1600,mythological,fresco
42671-micault1.jpg,Jan Cornelisz. VERMEYEN,dutch,oil,1501-1550,religious,oil
19075-musician.jpg,Dirck HALS,dutch,oil,1601-1650,genre,oil
