Index,model,dataset,image,image_path,img_url,true_artist,true_genre,true_style,true_school,true_technique,true_technique_macro,true_historical_period,true_wol_linear_vs_painterly,true_wol_plane_vs_recession,true_wol_closed_vs_open_form,true_wol_multiplicity_vs_unity,true_wol_absolute_vs_relative_clarity,pred_artist_1,pred_artist_2,pred_artist_3,pred_genre,pred_style,pred_technique,pred_school,pred_historical_period,pred_wol_linear_vs_painterly,pred_wol_plane_vs_recession,pred_wol_closed_vs_open_form,pred_wol_multiplicity_vs_unity,pred_wol_absolute_vs_relative_clarity,pred_short_description
10,gemini,waga,11,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1017_study-for-the-harvest-at-montfoucault-1879.jpg!Blog.jpg,,,,,,,,4.2,3.4,3.6,4.4,3.6,Camille Pissarro,Claude Monet,Alfred Sisley,landscape,Impressionism,pastel,french,1851-1900,5,5,4,4,4,"A vibrant landscape depicts a field under a light blue sky. Several large, yellow haystacks dominate the foreground and middle ground, with a small figure standing between two of them. A line of lush green trees forms the backdrop, suggesting a distant horizon. The artwork is rendered with visible, soft strokes, emphasizing light and atmospheric effects."
11,gemini,waga,12,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/101_nativity-1441.jpg!Blog.jpg,,,,,,,,2.6,1.6,1.0,2.4,3.2,Fra Angelico,Fra Filippo Lippi,Giotto,religious,Renaissance,fresco,italian,1401-1450,2,2,2,3,2,"An arched fresco depicts the Nativity scene. In the center, the infant Jesus lies on the ground, adored by the kneeling Virgin Mary and Saint Joseph. To the left, a female saint (possibly Saint Catherine of Alexandria) kneels, and to the right, a kneeling monk (possibly Saint Peter Martyr). Above, a simple stable structure houses a donkey and an ox. Four angels appear in the sky above the stable, all figures with halos."
12,gemini,waga,13,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1021_portrait-of-ye-p-zhdanovich-1847.jpg!Blog.jpg,,,,,,,,2.8,2.2,2.8,1.2,1.6,Ferdinand Georg Waldmüller,Friedrich von Amerling,Franz Xaver Winterhalter,portrait,Realism,oil,austrian,1851-1900,1,4,1,5,1,"A formal portrait depicts a seated woman with dark hair parted in the middle and styled in curls. She wears a dark dress with a white ruffled collar and a pink bow, and a long beaded necklace. Her hands are clasped, and she gazes directly at the viewer. To her right, a table holds a tall white candle, a vase with quills, and other small objects, against a dark, plain background."
13,gemini,waga,14,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1021_the-annunciation-1503.jpg!Blog.jpg,,,,,,,,2.8,2.2,1.6,2.6,3.8,Piero della Francesca,Fra Angelico,Filippo Lippi,religious,Renaissance,oil,italian,1451-1500,1,5,1,5,1,"An Annunciation scene set within a classical architectural arcade. On the left, the Archangel Gabriel, in a flowing red robe with black wings, approaches Mary, who is seated on the right in a red top and blue cloak, holding a book. God the Father appears in a cloud through an archway, with a dove descending. The floor is tiled in a checkerboard pattern, leading to a distant landscape."
14,gemini,waga,15,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10228_smith-1933.jpg!Blog.jpg,,,,,,,,4.6,2.8,2.2,3.2,1.2,Chaim Soutine,Oskar Kokoschka,Vincent van Gogh,portrait,Expressionism,oil,other,1851-1900,5,4,4,5,5,"A close-up, expressive portrait of a man with a mustache, wearing a red tank top, against a dark, textured background. His skin is rendered with visible, impasto brushstrokes in warm tones, highlighted by dramatic lighting. One hand rests on his chest, the other is clenched. He gazes directly forward with an intense expression, conveying a raw, psychological depth."
15,gemini,waga,16,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10236_april-landscape-1944.jpg!Blog.jpg,,,,,,,,4.0,4.0,4.0,4.2,4.0,Martiros Saryan,Arshile Gorky,Hovhannes Zardaryan,landscape,Expressionism,oil,other,1851-1900,4,4,2,4,4,"A vibrant landscape painting depicts a snow-capped mountain in the background under a pale sky. In the mid-ground, red-roofed buildings, including one with a conical tower, are nestled among green foliage. A winding path with fences leads into the scene from the foreground. A striking blue-leafed tree dominates the right foreground, near two small figures in traditional attire. The brushwork is loose and expressive, with bold color choices."
16,gemini,waga,17,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1023_cupid-unfastening-the-girdle-of-venus-1788.jpg!Blog.jpg,,,,,,,,4.4,3.4,4.0,4.2,2.4,Sir Joshua Reynolds,Thomas Gainsborough,George Romney,mythological,Romanticism,oil,english,1751-1800,5,4,4,4,4,"A partially draped woman reclines in a natural setting, her face partly obscured by her hand, conveying a pensive mood. A winged putto sits beside her, reaching towards her. Rich red drapery hangs above, contrasting with the dark, painterly background. The artwork features soft brushwork, dramatic lighting, and a warm color palette, creating an intimate and emotional scene."
17,gemini,waga,18,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1025_seated-figures-1967.jpg!Blog.jpg,,,,,,,,3.6,3.2,2.4,1.6,2.8,David Hockney,Alex Katz,R.B. Kitaj,genre,Pop / Dada / Postmodern,watercolour,english,1851-1900,2,2,1,2,2,"A watercolor painting depicts three men in casual poses against a plain white background. The man on the left, in a dark suit, sits with a hand on his head. Two other men are seated on a green couch; one in a dark suit, the other in a patterned jacket and jeans. The figures are rendered with simplified forms and soft washes, emphasizing contemporary observation."
18,gemini,waga,19,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1025_still-life-of-fruit-in-a-wan-li-bowl-1607.jpg!Blog.jpg,,,,,,,,3.6,3.0,2.0,3.6,2.8,Jan Davidsz. de Heem,Abraham van Beyeren,Willem Kalf,still-life,Realism,oil,dutch,1651-1700,1,5,1,4,1,"A detailed still life depicts a large, ornate bowl overflowing with various fruits, including grapes, apples, pears, and a melon. Some fruits are cut open, revealing their interiors. A knife with an ivory handle and a slice of bread rest on a pinkish-brown surface in the foreground. The background is dark, highlighting the vibrant colors and textures of the produce."
19,gemini,waga,20,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1026_still-life-with-artichokes-1610.jpg!Blog.jpg,,,,,,,,1.8,3.8,3.2,2.8,4.4,Willem Kalf,Jan Davidsz. de Heem,Pieter Claesz.,still-life,Baroque,oil,dutch,1651-1700,2,4,2,3,1,"A dark still life painting features a lavish arrangement of food and drink on a table. Prominent items include a basket of artichokes, a ceramic jug, a plate of oysters, a plate of small fruits, a decorative glass, and a bread roll. Strong chiaroscuro illuminates the textures of the objects against a deep, dark background, emphasizing their material qualities and reflections."
20,gemini,waga,21,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10277_in-the-mountains-1962.jpg!Blog.jpg,,,,,,,,3.6,4.8,4.2,4.2,3.8,Jean-Paul Côté,Paul Cézanne,Lyonel Feininger,landscape,Modernism,drawing,other,1851-1900,1,5,2,4,1,"A black and white pencil drawing depicts a rugged mountain landscape. Steep, angular cliffs dominate the left foreground, with small, blocky buildings nestled at their base and on a plateau. Distant mountains recede into the background, rendered with lighter, sketchier lines. Sparse, scribbled vegetation appears in the lower left, contributing to the overall linear and structured composition."
21,gemini,waga,22,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1027_portrait-of-madame-redon-embroidering-1880.jpg!Blog.jpg,,,,,,,,4.8,3.2,2.4,3.0,2.4,Odilon Redon,Edgar Degas,Mary Cassatt,portrait,Symbolism / Intimism,pastel,french,1851-1900,5,4,4,5,5,"A pastel portrait depicts a woman in profile, looking downwards with a contemplative expression. Her dark hair is pulled back, and she wears dark, possibly fur-trimmed, clothing. Her hands are gently clasped in the lower right. The background is a vibrant, textured blend of yellow, orange, and green, creating an ethereal and soft atmosphere around the figure."
22,gemini,waga,23,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1028_still-life-with-oysters-and-pastries-1610.jpg!Blog.jpg,,,,,,,,3.6,3.8,4.4,2.4,3.6,Willem Kalf,Jan Davidsz. de Heem,Pieter Claesz,still-life,Baroque,oil,dutch,1601-1650,2,4,2,4,4,"A sumptuous still life displays various food items and tableware on a wooden table against a dark background. Prominent elements include oysters on a pewter plate, a silver tazza laden with pastries, a bowl of chestnuts, a plate of olives, and citrus fruits. Two wine glasses, one with white and one with red wine, stand in the upper left. The scene is rendered with meticulous detail, rich textures, and dramatic chiaroscuro lighting."
23,gemini,waga,24,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1031_adoration-of-the-shepherds-1618.jpg!Blog.jpg,,,,,,,,2.4,1.6,3.6,3.4,4.0,Jusepe de Ribera,Orazio Gentileschi,Mattia Preti,religious,Baroque,oil,italian,1601-1650,4,4,4,4,4,"A dramatic painting depicts the Adoration of the Christ Child. Mary, illuminated by a central glow, cradles the infant. To her left, Joseph and an angel observe. To her right, a man in a red cap presents a dead bird. The scene is characterized by strong chiaroscuro, highlighting the figures against a deep, shadowy background, creating an intense and emotional atmosphere."
24,gemini,waga,25,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1032_unfaithfulness-1570.jpg!Blog.jpg,,,,,,,,2.8,3.2,3.8,3.0,4.0,Tintoretto,Paolo Veronese,Titian,mythological,Renaissance,oil,italian,1551-1600,4,4,4,4,4,"A dynamic scene depicts a nude woman, viewed from behind, centrally positioned and holding hands with two men. One man in red looks upwards, while the other in orange gazes out. Two putti are at the lower left. The figures are set against a backdrop of trees and a cloudy sky, rendered with rich colors and strong contrasts, suggesting a mythological or allegorical narrative."
25,gemini,waga,26,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10359_the-happy-day-1892.jpg!Blog.jpg,,,,,,,,4.4,3.6,3.8,4.0,4.8,Joaquín Sorolla y Bastida,Jules Bastien-Lepage,Max Liebermann,genre,Realism,oil,spanish,1851-1900,4,5,4,4,4,"A group of people gathers inside a rustic wooden boathouse or shed. An older man sits, seemingly interacting with a young woman in a white veil, possibly a bride, surrounded by other figures. A large dark fishing boat occupies the right side. Bright light streams in from an open doorway on the left, illuminating the figures and revealing a glimpse of a beach or sea outside."
26,gemini,waga,27,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1039_the-guards-outside-the-prison-detail-from-the-liberation-of-st-peter-in-the-stanza-d-eliodoro-1514.jpg!Blog.jpg,,,,,,,,3.8,3.4,3.0,3.6,4.4,Pontormo,Rosso Fiorentino,Giorgio Vasari,historical,Renaissance,oil,italian,1501-1550,2,5,4,4,4,"A dramatic scene depicts armored figures on a dark, winding staircase. In the foreground, a soldier points towards a struggling man on the steps. Another soldier ascends, while a shadowy figure with raised hands appears higher up. A torch casts light on the central action. Ornate classical architecture frames the left, contrasting with the dark background suggesting an exterior or upper level. The composition is dynamic and tense, capturing a moment of conflict."
27,gemini,waga,28,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/103_the-virgin-of-the-chancellor-rolin-detail-1436.jpg!Blog.jpg,,,,,,,,2.8,2.8,2.8,1.4,1.8,Jan van Eyck,Rogier van der Weyden,Robert Campin,portrait,Renaissance,oil,flemish,1401-1450,1,5,1,1,1,"A man with a tonsure, dressed in a rich, fur-lined brocade robe, is depicted in profile, praying with clasped hands. He gazes out a window at a meticulously detailed landscape featuring a town, rolling hills, and distant snow-capped mountains. An open prayer book rests on a ledge in the foreground."
28,gemini,waga,29,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1041_virgin-and-child-with-saints-1565.jpg!Blog.jpg,,,,,,,,3.4,4.0,1.4,3.4,4.4,Tintoretto,Paolo Veronese,Titian,religious,Renaissance,oil,italian,1551-1600,4,4,4,4,4,"An arched altarpiece depicts the Virgin Mary and Christ Child on clouds, surrounded by angels, in the upper register. Below, a group of saints and martyrs, including a bound Saint Sebastian, look upwards. The scene is characterized by dramatic lighting, vibrant colors, and dynamic composition, set within an architectural niche."
29,gemini,waga,30,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1043_pittura-r-bl-1986.jpg!Blog.jpg,,,,,,,,2.0,2.6,2.8,1.0,2.6,Sol LeWitt,Donald Judd,Dan Flavin,other,Constructivist / Geometric Modern,drawing,american,1851-1900,1,2,1,4,1,"A minimalist artwork featuring an incomplete geometric shape, resembling a trapezoid or open rectangle. It is formed by a series of small, elongated, pointed segments. The top arc and left vertical line are red, while the bottom horizontal line and right vertical line are black. The segments are spaced, creating a dashed effect, and cast subtle shadows on a light beige background with a brown base."
30,gemini,waga,31,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1045_the-judgment-of-solomon-1511.jpg!Blog.jpg,,,,,,,,3.2,4.2,2.6,3.2,3.8,Michelangelo,Raphael,Giulio Romano,religious,Renaissance,fresco,italian,1501-1550,1,4,2,5,1,"A dramatic Renaissance painting depicts the Judgment of Solomon. A muscular man, seen from behind, holds a baby and a sword, poised to divide it. Another infant lies on the ground. Two distressed women and an older bearded man react, pleading. The figures are powerfully rendered with strong anatomy and emotional intensity, set against a background resembling a mosaic."
31,gemini,waga,32,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1052_st-cecilia-1625.jpg!Blog.jpg,,,,,,,,3.4,2.0,2.0,3.8,1.0,Artemisia Gentileschi,Orazio Gentileschi,Guercino,historical,Baroque,oil,italian,1601-1650,4,4,2,5,5,"A young woman, possibly an allegory of Music, is seated in a dark interior. She holds a large stringed instrument, likely a theorbo or lute, with her left hand. Dressed in a white blouse, a pinkish-brown bodice, and a voluminous blue skirt, she gazes directly at the viewer. Strong chiaroscuro illuminates her face, hands, and the folds of her garments, creating dramatic contrasts against the dark background."
32,gemini,waga,33,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1052_the-boulevard-montmartre-at-night-1897.jpg!Blog.jpg,,,,,,,,4.8,4.0,3.8,5.0,4.4,Camille Pissarro,Claude Monet,Gustave Caillebotte,genre,Impressionism,oil,french,1851-1900,5,5,5,4,5,"An Impressionistic oil painting depicts a wide city street at night, viewed from an elevated perspective. Numerous bright yellow and orange lights from buildings, streetlamps, and vehicles illuminate the dark blue and gray scene, reflecting on the wet street. Figures and carriages are rendered with loose, visible brushstrokes, creating a vibrant, atmospheric urban panorama."
33,gemini,waga,34,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1055_portrait-of-diane-d-andouins-and-her-daughter-1565.jpg,,,,,,,,3.2,2.8,2.6,2.4,1.4,Sofonisba Anguissola,Lavinia Fontana,Alonso Sánchez Coello,portrait,Renaissance,oil,italian,1551-1600,2,2,1,4,1,"A formal portrait depicts a richly dressed woman standing beside a younger girl, likely her daughter. The woman wears a dark, heavily embroidered gown with a large ruff and elaborate jewelry, holding a handkerchief. The girl, also in a fine orange gown and ruff, stands slightly in front. A classical column and dark drapery form the background, emphasizing their regal presence."
34,gemini,waga,35,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1056_portrait-of-elena-anguissola-1551.jpg,,,,,,,,3.4,2.0,2.8,1.6,1.6,Francisco de Zurbarán,Diego Velázquez,Bartolomé Esteban Murillo,portrait,Baroque,oil,spanish,1601-1650,3,3,3,4,2,"A half-length portrait depicts a young nun, facing forward, against a dark, somber background. She is dressed in a pristine white habit and wimple, rendered with subtle folds and shadows. Her hands, clasped at her waist, gently hold a small, red-bound book and a rosary. Her expression is serene, and her gaze is direct, engaging the viewer. The lighting highlights her face and the voluminous white drapery."
35,gemini,waga,36,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1057_english-demographer-and-political-economist-thomas-malthus-1897.jpg!Blog.jpg,,,,,,,,3.0,2.0,2.0,1.8,1.6,Félix Vallotton,Honoré Daumier,Ernst Ludwig Kirchner,portrait,Symbolism / Intimism,drawing,french,1851-1900,1,1,1,4,1,"A high-contrast, black and white graphic portrait depicts a man from the chest up, facing forward. He has curly dark hair, prominent eyes, and a somewhat stern or contemplative expression. His attire includes a high collar and a jacket. The image is characterized by bold, simplified lines and solid black shapes against a white background, with a textured quality in the black areas. A small 'FV' monogram in a box is visible in the bottom right corner."
36,gemini,waga,37,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1059_portrait-of-massimiliano-stampa-1557.jpg!Blog.jpg,,,,,,,,3.4,1.4,3.4,1.0,1.6,Bronzino,Giovanni Battista Moroni,Pontormo,portrait,Renaissance,oil,italian,1551-1600,1,2,1,2,1,"A full-length portrait depicts a young boy in a dark, buttoned tunic and hose, with a white ruff. He stands beside a white classical column against a plain green background. His right hand rests on the column, holding a white cloth, while a sword hangs at his left hip. A brown and white dog sleeps at his feet on a light brown floor. The boy has large eyes and a serious expression."
37,gemini,waga,38,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10608_gypsy-woman-with-yellow-headscarf-1912.jpg!Blog.jpg,,,,,,,,4.8,2.6,2.6,3.0,2.6,Nicolas Rémont,John Singer Sargent,Anders Zorn,portrait,Impressionism,watercolour,belgian,1851-1900,5,4,4,4,4,"A watercolor portrait depicts a young person, likely female, in profile facing right. She wears a yellow headscarf and a light-colored garment, possibly a white shirt with hints of blue and red. The background is a muted, warm tone, with visible washes and drips characteristic of watercolor. The features are rendered with soft, impressionistic brushstrokes, focusing on light and shadow rather than sharp lines. The overall mood is contemplative and gentle."
38,gemini,waga,39,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1063_abduction-of-proserpine-on-a-unicorn-1516.jpg!Blog.jpg,,,,,,,,3.8,4.2,3.8,4.4,4.8,Albrecht Dürer,Lucas Cranach the Elder,Hans Baldung Grien,mythological,Renaissance,drawing,german,1501-1550,1,2,4,4,1,"A highly detailed black and white engraving depicts a dramatic scene of a nude woman and a male figure struggling on the back of a rearing horse. Swirling clouds fill the upper left, while the upper right shows a clear sky with the date '1516'. The figures are rendered with strong contours and intricate linear work, suggesting a mythological abduction or allegory."
39,gemini,waga,40,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1063_lady-anne-bingham-1786.jpg!Blog.jpg,,,,,,,,4.6,3.0,1.8,3.2,1.8,Thomas Gainsborough,Joshua Reynolds,George Romney,portrait,Romanticism,oil,english,1751-1800,5,4,4,5,4,"A half-length portrait depicts a woman with light skin and dark, curly hair, wearing a wide-brimmed hat. She is dressed in a voluminous white gown or shawl with intricate folds and lace details, set against a dark, indistinct background. Her gaze is directed towards the viewer, and she has a subtle smile. The painting features loose, painterly brushwork, particularly evident in the fabric and hair, and dramatic lighting highlights her face and white attire."
40,gemini,waga,41,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1064_the-cook-1620.jpg!Blog.jpg,,,,,,,,3.2,3.0,4.2,3.4,3.0,Gerard van Honthorst,Jacob Jordaens,Hendrick ter Brugghen,genre,Baroque,oil,dutch,1601-1650,4,4,4,4,4,"A young person, likely a boy, sits in a dimly lit kitchen, actively plucking a large white bird. To their left, a dark bird hangs from a hook above a glowing fire and a cooking pot. An ornate metal pitcher stands prominently in the foreground. Various other game birds and feathers are scattered on the floor and a wooden surface, indicating a scene of food preparation. The figure looks directly at the viewer."
41,gemini,waga,42,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1066_three-children-with-dog-1590.jpg!Blog.jpg,,,,,,,,1.8,1.4,2.6,2.0,2.8,Agnolo Bronzino,Alessandro Allori,Giovanni Battista Moroni,portrait,Renaissance,oil,italian,1551-1600,1,1,1,2,1,"A formal group portrait features three children: two girls flanking a boy, all dressed in elaborate Renaissance attire. The central boy holds a small white and brown dog. The figures are rendered with precise detail, smooth surfaces, and rich textures against a plain, dark green background. The composition is frontal and static, emphasizing the individual presence of each child."
42,gemini,waga,43,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1067_the-miracle-of-st-diego-of-alcantara-1625.jpg!Blog.jpg,,,,,,,,4.0,3.6,3.0,4.2,3.8,Jusepe de Ribera,Francisco de Zurbarán,Caravaggio,religious,Baroque,oil,spanish,1601-1650,4,4,4,4,4,"A dark, dramatic Baroque painting depicts a tonsured monk in a brown habit, illuminated by a halo-like glow, extending his right arm. He places his left hand on the head of a bare-chested man looking up at him. A young boy in red holds a censer. Another figure is partially visible. Strong chiaroscuro emphasizes the figures and their emotional interaction against a dark background."
43,gemini,waga,44,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1071_untitled-landscape-bellport-no-256-1990.jpg!Blog.jpg,,,,,,,,3.4,3.0,4.0,5.0,4.6,Willem de Kooning,Joan Mitchell,Franz Kline,other,Abstract (large family),oil,american,1851-1900,5,4,5,4,5,"An abstract painting featuring thick, impasto brushstrokes in a vibrant palette of yellow, blue, red, and white. Vertical yellow forms dominate the upper half, contrasting with a more chaotic mix of colors and shapes below. The composition is dynamic and energetic, with no discernible representational subject, emphasizing texture and color interaction."
44,gemini,waga,45,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1076_spring-1883.jpg!Blog.jpg,,,,,,,,4.2,3.8,3.2,3.2,2.4,Odilon Redon,Fernand Khnopff,Gustave Moreau,portrait,Symbolism / Intimism,drawing,french,1851-1900,4,3,4,5,5,"A monochromatic profile portrait, likely of a woman, emerges from a dark, dense background of intertwined branches and leaves. The figure's face is rendered with soft, ethereal contours, gazing towards the right. The overall impression is dreamlike and melancholic, with details blending into an atmospheric whole, characteristic of a charcoal drawing or lithograph."
45,gemini,waga,46,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1079_the-three-graces-1505.jpg!Blog.jpg,,,,,,,,3.2,2.0,1.6,4.2,2.6,Raphael,Giorgione,Perugino,mythological,Renaissance,oil,italian,1501-1550,2,3,2,4,1,"Three nude female figures stand in a landscape. The central figure faces away, while the two outer figures face inwards, each holding a red sphere (apple). They are linked by their arms, forming a graceful, intertwined group. The background features a serene, somewhat hazy landscape with water and distant hills under a pale sky. The figures are rendered with soft modeling and idealized forms."
